source,affiliation,publish,year_of_publish,form_of_publish,one-two-sided,personas,comments,e-source,n-letters,target,year,source_wkid,target_wkid
"Засулич, Вера Ивановна","деятельница российского и международного социалистического движения, писательница","Группа осовобождения труда. Сборник 1. М., ГИЗ, 1924, с. 141, 145—147, 200—214. (Комитет по увековечению памяти Г. В. Плеханова).",1924,переписка,односторонняя,С. М. Степняку-Кравчинскому. (9). 1888—1889.,"","",9,Степняк-Кравчинский С. М.,1888|1889,,
"Засулич, Вера Ивановна","деятельница российского и международного социалистического движения, писательница","Переписка К. Маркса и Ф. Энгельса с русскими политическими деятелями. Изд. 2-е. М., Госполитиздат, 1951, с. 37, 58, 65, 72, 78, 79, 82, 83, 88, 89, 91, 94, 96, 141, 188, 299.",1951,письмо,односторонняя,К. Марксу. (1). 16 февр. 1881.,о Н. Г. Чернышевском,"",1,Маркс К.,16|1881,,
"Захаржевская, Е. А.",?,"Рус. ст., 1896, №№ 1—4, 10.",1896,письмо,односторонняя,В. Г. Теплякову. (1). 16 февр. 1831.,"","",1,Тепляков В. Г.,16|1831,,
"Захарович, Филарет",два письма архидиакона старообрядческого Белокриницкого монастыря,"Лит. насл., 1955, т. 62, см. указатель имен.",1955,письмо,односторонняя,Н. П. Огарёву. (1). 7 окт. 1862.,"","",1,Огарёв Н. П.,1862,Q4483705,
"Захарьин, Александр Васильевич","близкий знакомый Пыпиных и Чернышевских, был связан с «Русской мыслью» Лаврова.","Н. Г. Чернышевский. Литературное наследие, тт. II—III. М.—Л., ГИЗ, 1928—1930.",1928—1930,переписка,односторонняя,Н. Г. Чернышевскому. (8). 1884—1888.,"","",8,Чернышевский Н. Г.,1884|1888,,
"Захарьин, Иван Николаевич (Якунин)","писатель, драматург, очеркист, поэт, прозаик","Н. Г. Чернышевский. Литературное наследие, тт. II—III. М.—Л., ГИЗ, 1928—1930.",1928—1930,письмо,односторонняя,Н. Г. Чернышевскому. (1). 12 июля 1862.,"","",1,Чернышевский Н. Г.,12|1862,,
"Звонарев, С. В.","книгопродавец в СПб., издатель книг","Архив села Карабихи. М., К. Некрасов, 1916, с. 41—265.",1916,переписка,односторонняя,Н. А. Некрасову. (17). 1864—1872.,"","",17,Некрасов Н. А.,1864|1872,,
"Зейдлиц, Карл Карлович","доктор медицины, действительный статский советник","Сев. пчела, 1834, №№ 124, 126.",1834,письмо,односторонняя,В. И. Далю. (1). ?.,ответ на предыдущее письмо,"",1,Даль В. И.,,,
"Зернин, Александр Петрович","историк, профессор Харьковского университета","Письма к А. В. Дружинину. М., 1948, 423 с. (Летописи Гослитмузея, № 9).",1948,переписка,односторонняя,А. В. Дружинину. (3). 1858—1860.,"","",3,Дружинин А. В.,1858|1860,,
"Златовратский, А. П.","близкий друг Н. А. Добролюбова, дядя Н. Н. Златовратского","Шестидесятые годы. Материалы по истории литературы и общественному движению. М.—Л., АН СССР, 1940, с. 5—84, 383—425. (Ин-т лит-ры).",1940,письмо,односторонняя,Н. Г. Чернышевскому. (1). 10 февр. 1862.,"","",1,Чернышевский Н. Г.,10|1862,,
"Златовратский, Николай Николаевич",писатель,"Буш В. В. Очерки литературного народничества 70—80-х годов. М.—Л., ГИХЛ., 1931, с. 11, 17, 18, 38—40, 49, 88.",1931,письмо,односторонняя,Н. А. Некрасову. (1). 9 сент. 1873.,"","",1,Некрасов Н. А.,1873,Q1960433,Q208003
"Златовратский, Николай Николаевич",писатель,"Буш В. В. Очерки литературного народничества 70—80-х годов. М.—Л., ГИХЛ., 1931, с. 11, 17, 18, 38—40, 49, 88.",1931,отрывки,одностороннее,Ф. Д. Нефедову. (5). 1876—891.,"","",5,Нефедов Ф. Д.,1876,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Буш В. В. Очерки литературного народничества 70—80-х годов. М.—Л., ГИХЛ., 1931, с. 11, 17, 18, 38—40, 49, 88.",1931,отрывок,одностороннее,А. И. Эртелю. (1). 21 ноября 1885.,"","",1,Эртель А. И.,1885,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,переписка,односторонняя,А. Н. Златовратскому. (2). 17 дек. 1905—12 янв. 1906.,"","",2,Златовратский А. Н.,17|1905|12|1906,,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,письмо,одностороннее,"Е. Н., М. Н. Златовратским. (1). 1886.","","",1,Златовратские Е. Н.,1886,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,письмо,одностороннее,"Е. Н., М. Н. Златовратским. (1). 1886.","","",1,Златовратские М. Н.,1886,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,отрывки,одностороннее,Л. Н. Златовратской. (?). 1896.,"","",?,Златовратская Л. Н.,1896,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,письмо,одностороннее,Н. Н. Златовратскому (сыну). (1). Б. д.,"","",1,Златовратский Н. Н.,,,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,переписка,односторонняя,"С. Н. Златовратской (дочери). (2). 7, 15—16 июля 1905.","","",2,Златовратская С. Н.,15|16|1905,,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,переписка,односторонняя,С. А. Златовратской (жене). (8). 1887—1890.,"","",8,Златовратская С. А.,1887|1890,,
"Златовратский, Николай Николаевич",писатель,"Златовратский Н. Н. Воспоминания. М., Гослитиздат, 1956, с. 16, 17, 21, 22, 361—372, 390, 401—405, 408—412.",1956,письмо,одностороннее,Ф. Н. Нефедову. (1). 1877.,"","",1,Нефедов Ф. Н.,1877,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Путь, 1913, № 1, с. 41.",1913,письмо,одностороннее,И. А. Белоусову. (1). 1910.,"","",1,Белоусов И. А.,1910,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Белоусов И. Литературная Москва. М., Моск. тов-во писателей, 1929, с. 88—89.",1929,письмо,одностороннее,И. А. Белоусову. (1). 1910.,"","",1,Белоусов И. А.,1910,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Путь, 1913, № 1, с. 43.",1913,переписка,односторонняя,Г. А. Мачтету. (3). 1886—1888.,"","",3,Мачтет Г. А.,1886|1888,,
"Златовратский, Николай Николаевич",писатель,"Лит. насл., 1949, т. 51— 52, с. 300—303.",1949,переписка,односторонняя,Н. А. Некрасову. (3). 1875—1876.,"","",3,Некрасов Н. А.,1875|1876,,
"Златовратский, Николай Николаевич",писатель,"Рус. вед., 1912, № 27, 2 февр, с. 2—3.",1912,письмо,одностороннее,А. Пругавину. (1). 10 ноября 1910.,"","",1,Пругавин А.,10|1910,,
"Златовратский, Николай Николаевич",писатель,"Рус. вед., 1884, № 48, 17 февр., с. 3.",1884,письмо,одностороннее,А. Н. Пыпину. (1). ?.,"","",1,Пыпин А. Н.,,,
"Златовратский, Николай Николаевич",писатель,"Лит. насл., 1934, т. 13—14, с. 356, 357, 362—372, 374—376.",1934,переписка,односторонняя,М. Е. Салтыкову-Щедрину. (10). 1877—1883.,"","",10,Салтыков-Щедрин М. Е.,1877|1883,,
"Златовратский, Николай Николаевич",писатель,"Лит. насл., 1949, т. 51—52, с. 296—300.",1949,переписка,односторонняя,М. Е. Салтыкову-Щедрину. (2). 1874—1875.,"","",2,Салтыков-Щедрин М. Е.,1874|1875,,
"Златовратский, Николай Николаевич",писатель,"Голос мин., 1913, № 1, с. 119—120.",1913,отрывок,одностороннее,А. М. Скабичевскому. (1). 9 янв. 1885.,"","",1,Скабичевский А. М.,1885,Q1960433,
"Златовратский, Николай Николаевич",писатель,"Рус. вед., 1884, № 48, 17 февр., с. 3; 1888, № 286; 17 окт., с. 3.",1884—1888,переписка,односторонняя,В. М. Соболевскому. (2). ?.,"","",2,Соболевский В. М.,,,
"Златовратский, Николай Николаевич",писатель,"Письма русских писателей к А. С. Суворину. Л., 1927, с. 55—56.",1927,переписка,односторонняя,А. С. Суворину. (3). 1876—1879.,"","",3,Суворин А. С.,1876|1879,,
"Златовратский, Николай Николаевич",писатель,"Голос мин., 1915, № 10, с. 214—217.",1915,переписка,односторонняя,Г. И. Успенскому. (4). 1886—1888.,"","",4,Успенский Г. И.,1886|1888,,
"Златовратский, Николай Николаевич",писатель,"Глеб Успенский. Материалы и исследования. М—Л., АН СССР, 1938, с. 257.",1938,письмо,одностороннее,Г. И. Успенскому. (1). 25 дек. 1880.,"","",1,Успенский Г. И.,1880,Q1960433,Q171242
"Златовратский, Николай Николаевич",писатель,"Чехов А. П. Полное собрание-сочинений и писем, т. XIV. М., Гослитиздат, 1949, с. 505—506.",1949,отрывок,одностороннее,А. П. Чехову. (1). 21 июля 1888.,"","",1,Чехов А. П.,1888,Q1960433,Q5685
"Златовратский, Николай Николаевич",писатель,"Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,переписка,односторонняя,Н. А. Некрасову. (3). 1875—1876.,"","",3,Некрасов Н. А.,1875|1876,,
"Златовратский, Николай Николаевич",писатель,"Письма русских писателей к А. С. Суворину. Л., 1927, 228 с. (Публ. б-ка).",1927,переписка,односторонняя,А. С. Суворину. (3). 1876—1879.,"","",3,Суворин А. С.,1876|1879,,
"Зотов, Владимир Рафаилович","писатель, журналист","Лит. насл., 1955, т. 62, с. 5—788.",1955,письмо,одностороннее,А. И. Герцену. (1). 5 сент. 1867.,"","",1,Герцен А. И.,1867,Q4194122,
"Зотов, Владимир Рафаилович","писатель, журналист","Рус. ст., 1901, № 7, с. 172.",1901,письмо,одностороннее,И. Е. Великопольскому. (1). 15 июня 1865.,"","",1,Великопольский И. Е.,15|1865,,
"Зотов, Владимир Рафаилович","писатель, журналист","Лит. насл., 1955, т. 62, с. 140—148.",1955,письмо,одностороннее,А. И. Герцену. (1). 5/17 сент. 1867.,"","",1,Герцен А. И.,17|1867,,
"Зотов, Владимир Рафаилович","писатель, журналист","Переписка И. А. Голышева с разными учеными лицами. Под ред. А. В. Смирнова. Владимир, 1898, с. 144—145.",1898,письмо,одностороннее,И. А. Голышеву. (1). 17 июля 1887.,"","",1,Голышев И. А.,17|1887,,
"Зотов, Владимир Рафаилович","писатель, журналист","Макашин С. Салтыков-Щедрин. Биография. Т. I. Изд. 2-е, дол. М., Гослитиздат, 1951, с. 295.",1951,отрывок,одностороннее,М. И. Михайлову. (1). 12 мая 1848.,"","",1,Михайлов М. И.,12|1848,,
"Зотов, Владимир Рафаилович","писатель, журналист","Лит. насл., 1949, т. 51—52, вып. 2, с. 304.",1949,письмо,одностороннее,Н. А. Некрасову. (1). 10 сент. 1875.,"","",1,Некрасов Н. А.,10|1875,,
"Зотов, Владимир Рафаилович","писатель, журналист","Рус. ст., 1899, № И, с. 374.",1899,письмо,одностороннее,А. В. Никитенко. (1). 17 апр. 1861.,"","",1,Никитенко А. В.,17|1861,,
"Зотов, Владимир Рафаилович","писатель, журналист","Уч. зап. Тартуского ун-та, 1958, вып. 65, с. 84.",1958,отрывок,одностороннее,А. В. Старчевскому. (1). 24 окт. 1856.,"","",1,Старчевский А. В.,1856,Q4194122,
"Зотов, Владимир Рафаилович","писатель, журналист","Вопросы изучения русской литературы XI—XX вв. М.—Л., АН СССР, 1958, с. 318. (Ин-т рус. лит-ры).",1958,отрывок,одностороннее,А. В. Старчевскому. (1). 31 окт. 1856.,"","",1,Старчевский А. В.,1856,Q4194122,
"Зотов, Владимир Рафаилович","писатель, журналист","Зап. Отдела рукописей Б-ки СССР им. В. И. Ленина, 1939, вып. 5, с. 36.",1939,переписка,односторонняя,И. З. Сурикову. (2). 30 янв. — 12 мая 1870.,"","",2,Суриков И. З.,12|1870,,
"Зотов, Владимир Рафаилович","писатель, журналист","Ист. вест. 1896, № 3, с. 986—987.",1896,отрывки,односторонняя,С. Н. Шубинскому. (3). 5 мая— 19 дек. 1895.,"","",3,Шубинский С. Н.,19|1895,,
"Зотов, Владимир Рафаилович","писатель, журналист","Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,письмо,одностороннее,Н. А. Некрасову. (1). 1875.,"","",1,Некрасов Н. А.,1875,Q4194122,Q208003
"Зотов, Рафаил Михайлович","романист, драматург и театральный критик, писатель, переводчик, мемуарист","Погожев В. П. Столетие организации императорских московских театров, вып. 1, кн. 3. Пб., Дирекция имп. театров, 1908, с. 30—33.",1908,переписка,односторонняя,П. М. Волконскому. (2). 1836—1844.,"","",2,Волконский П. М.,1836|1844,,
"Зотов, Рафаил Михайлович","романист, драматург и театральный критик, писатель, переводчик, мемуарист","Рус. ст., 1880, № 10, с. 341—343.",1880,переписка,односторонняя,И. И. Сосницкому. (2). 1830.,"","",2,Сосницкий И. И.,1830,Q4194138,
"Зубрицкий, Денис Иванович",историк и этнограф,"Попов Н., сост. Письма к М. П. Погодину из славянских земель. (1835—1861). Вып. 1—3. М., 1880, 746 с. (Об-во ист. и древностей росс, при Моск. ун-те).",1880,переписка,односторонняя,М. П. Погодину. (28). 1839—1861.,"","",28,Погодин М. П.,1839|1861,,
"Зузин, К. А.",?,"Архив села Карабихи. М., К. Некрасов, 1916, с. 41—265.",1916,письмо,одностороннее,Н. А. Некрасову. (1). 1872.,"","",1,Некрасов Н. А.,1872,,Q208003
"Зузин, Пётр Александрович","отставной штабс-капитан артиллерии, участник севастопольской обороны, председатель Костромской уездной земской управы (1871—1876)","Архив села Карабихи. М., К. Некрасов, 1916, с. 41—265.",1916,письмо,одностороннее,Н. А. Некрасову. (1). Б. д.,"","",1,Некрасов Н. А.,,,
"Иванисов, А.",?,"В. Г. Белинский и его корреспонденты. Под ред. Н. Л. Бродского. М., Б-ка СССР им. В. И. Ленина, 1948, с. 31-314.",1948,"переписка, отрывки",односторонняя,В. Г. Белинскому. (3). 13 июня 1829—18 марта 1830.,"","",3,Белинский В. Г.,13|1829|18|1830,,
"Иванов, Александр Андреевич","художник, академик","Боткин М. П. А. А. Иванов. Его жизнь и переписка. Пб., 1880, с. 125, 126, 140, 144, 145, 148—151,161, 164, 165, 175—177, 180—182, 227—235, 244, 247, 251, 252, 262—264, 267—269.",1880,переписка,односторонняя,Н. В. Гоголю. (25). 1840—1851.,"","",25,Гоголь Н. В.,1840|1851,,
"Иванов, Александр Андреевич","художник, академик","Изв. Азербайджанского ун-та, 1925, т. IV—V, с. 38—55.",1925,переписка,односторонняя,Н. В. Гоголю. (13). 1846—1851.,"","",13,Гоголь Н. В.,1846|1851,,
"Иванов, Александр Андреевич","художник, академик","отд. оттиск: Баку, 1925, с. 38—55.",1925,переписка,односторонняя,Н. В. Гоголю. (13). 1846—1851.,"","",13,Гоголь Н. В.,1846|1851,,
"Иванов, Александр Андреевич","художник, академик","Н. В. Гоголь. Материалы и исследования. Т. I. Под ред. В. В. Гиппиуса. М.—Л., АН СССР, 1936, с. 127—220, 285—306, 313—347. (Ин-т рус. лит-ры).",1936,письмо,одностороннее,Н. В. Гоголю. (1). Февр. 1842.,"","",1,Гоголь Н. В.,1842,Q76829,Q43718
"Иванов, Александр Андреевич","художник, академик","Рус. архив, 1878, № 5, с. 47—66.",1878,письмо,одностороннее,С. П. Шевыреву. (1). 24 июня 1836.,"","",1,Шевырёв С. П.,1836,Q76829,
"Иванов, Иван Алексеевич","художник, акад. перспективной живописи","Переписка А. Х. Востокова в повременном порядке. Комм. И. Срезневского. Пб., 1873, XL, 509 с.",1873,переписка,односторонняя,А. Х. Востокову. (4). 1799—1801.,"","",4,Востоков А. Х.,1799|1801,,
"Иванова, Е. П.",?,"Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,письмо,одностороннее,Н. А. Некрасову. (1). 1876.,"","",1,Некрасов Н. А.,1876,,Q208003
"Иванчин-Писарев, Александр Иванович","деятель народнического движения, журналист","Глеб Успенский. Материалы и исследования. Т. I. М.—Л., АН СССР, 1938, с. 255—353. (Ин-т рус. лит-ры).",1938,переписка,односторонняя,Г. И. Успенскому. (10). 1884—1893.,"","",10,Успенский Г. И.,1884|1893,,
"Иванчин-Писарев, Николай Дмитриевич","писатель, поэт","Изв. Отд. рус. яз. и словесн., 1901, т. VI, № 4, с. 237—238, 243—266.",1901,переписка,односторонняя,"П. А. Вяземскому. (2). 15, 25 окт. 1837.","","",2,Вяземский П. А.,15|1837,,
игумен Дамаскин,?,"Переписка А. Х. Востокова в повременном порядке. Комм. И. Срезневского. Пб., 1873, XL, 509 с.",1873,переписка,односторонняя,А. Х. Востокову. (2). 1850.,"","",2,Востоков А. Х.,1850,Q11855736,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Библиогр. зап., 1859, № 13, с. 410—415, № 14, с. 417—427.",1859,переписка,односторонняя,Н. Ф. Грамматину. (12). 1810—1818.,"","",12,Грамматин Н. Ф.,1810|1818,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Сын отеч., 1815, ч. XIX, № 5, с. 213; 1817, ч. XXXVI, № 11, с. 199.",1815—1817,переписка,односторонняя,Н. И. Гречу. (2). 13 февр. 1815—март 1817.,"","",2,Греч Н. И.,13|1815|1817,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Pvc. архив, 1871, № 7—8, с. 961—1008.",1871,переписка,односторонняя,И. И. Дмитриеву. (23). 1816—1830.,"","",23,Дмитриев И. И.,1816|1830,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Рус. архив, 1892, № 10, с. 240.",1892,отрывок,одностороннее,И. И. Дмитриеву. (1). 6 апр. 1822.,"","",1,Дмитриев И. И.,1822,Q4198599,Q2564168|Q4162784
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Рус. ст., 1900, № 7, с. 60, 69, 70, 78.",1900,отрывки,односторонняя,Е. И. Измайловой. (7). 1827—1829.,"","",7,Измайлова Е. И.,1827|1829,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Рус. ст., 1900, № 7, с. 70, 71.",1900,отрывок,одностороннее,М. А. Каменеву-Любовскому. (1). 2 марта 1829.,"","",1,Каменев-Любовский М. А.,1829,Q4198599,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Сборник статей, читанных в Отд. рус. яз. и словесн., 1869, т. VI, вып. 2, отд. II, с. 302.",1869,письмо,одностороннее,И. А. Крылову. (1). 22 июня 1817.,"","",1,Крылов И. А.,1817,Q4198599,Q191480|Q21684151
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Кеневич В. Ф. Библиографические и исторические примечания к басням Крылова, изд. 2-е, доп. Пб., 1878, с. 318.",1878,письмо,одностороннее,И. А. Крылову. (1). 22 июня 1817.,"","",1,Крылов И. А.,1817,Q4198599,Q191480|Q21684151
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Илл., 1846, № 17, 11 мая, с. 267.",1846,отрывки,односторонняя,Неизвестному. (3). 25 июля—15 дек. 1829.,"","",3,Неизвестный ,15|1829,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Рус. ст., 1900, № 7, с. 63.",1900,отрывок,одностороннее,Неизвестному. (1). 8 марта 1829.,"","",1,Неизвестный ,1829,Q4198599,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Ист. вест., 1889, № 7, с. 215.",1889,письмо,одностороннее,А. С. Пушкину. (1). 26 июля 1818.,"","",1,Пушкин А. С.,1818,Q4198599,Q7200
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Пушкин А. С. Полное собрание сочинений, т. XIII. М.— Л., АН СССР, 1937, с. 9.",1937,письмо,одностороннее,А. С. Пушкину. (1). 26 июля 1818.,"","",1,Пушкин А. С.,1818,Q4198599,Q7200
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Славянин, 1828, ч. VII, отд. II, с. 253—256.",1828,письмо,одностороннее,Д. И. Хвостову. (1). 24 июня 1828.,"","",1,Хвостов Д. И.,1828,Q4198599,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Рус. ст., 1890, № 6, с. 674—677.",1890,письмо,одностороннее,Д. И. Хвостову. (1). 31 янв. 1829.,"","",1,Хвостов Д. И.,1829,Q4198599,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Базанов В. Г. Вольное общество любителей российской словесности. Петрозаводск, ГИЗ К.-Ф. ССР, 1949, с. 23, 99, 100, 188, 189, 261, 262, 272, 273.",1949,отрывки,односторонняя,Н. И. Шредеру. (6). 1823—1826.,"","",6,Шредер Н. И.,1823|1826,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Дельвиг А. А. Полное собрание стихотворений. Л., «Изд-во писателей в Л.», 1934, с. 46, 61.",1934,отрывки,односторонняя,П. Л. Яковлеву. (3). 1820—1825.,"","",3,Яковлев П. Л.,1820|1825,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Лит. насл., 1952, т. 58, с. 35, 36, 47, 48, 50—52.",1952,переписка,односторонняя,П. Л. Яковлеву. (4). 1820—1826.,"","",4,Яковлев П. Л.,1820|1826,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Лит. насл., 1954, т. 59, с. 532—540.",1954,отрывки,односторонняя,П. Л. Яковлеву. (9). 1824—1826.,"","",9,Яковлев П. Л.,1824|1826,,
"Измайлов, Александр Ефимович","чиновник, баснописец, издатель и публицист, педагог","Памяти декабристов. Сборник материалов. Кн. 1. Л., АН СССР, 1926, с. 238—248.",1926,отрывки,односторонняя,П. Л. Яковлеву. (6). 1825—1826.,"","",6,Яковлев П. Л.,1825|1826,,
"Измайлов, Владимир Васильевич","писатель, журналист, цензор","Лит. насл., 1952, т. 58, с. 90—91.",1952,письмо,одностороннее,П. А. Вяземскому. (1). 3 июня 1829.,"","",1,Вяземский П. А.,1829,Q4198598,
"Измайлов, Владимир Васильевич","писатель, журналист, цензор","Отечественная галерея с прибавлением некоторых других сочинений, ч, I. М., 1832, с. 168.",1832,отрывок,одностороннее,Н. Д. Иванчину-Писареву. (1). Б. д.,"","",1,Иванчин-Писарев Н. Д.,,,
"Измайлов, Владимир Васильевич","писатель, журналист, цензор","Совр., 1925, кн. 1, с. 300—301.",1925,письмо,одностороннее,К. А. Ливену. (1). 10 сент. 1829.,"","",1,Ливен К. А.,10|1829,,
"Измайлов, Владимир Васильевич","писатель, журналист, цензор","Рус. архив, 1880, № 2, с. 462—464.",1880,переписка,двусторонняя,А. С. Пушкину. (2). 19 мая — 29 сент. 1826.,"","",2,Пушкин А. С.,19|1826,,
"Измайлов, Владимир Васильевич","писатель, журналист, цензор","Пушкин А. С. Полное собрание сочинений, т. ХIII. М.— Л., АН СССР, 1937, с. 277, 278, 297—299.",1937,переписка,двусторонняя,А. С. Пушкину. (2). 19 мая — 29 сент. 1826.,"","",2,Пушкин А. С.,19|1826,,
"Измайлов, Владимир Васильевич","писатель, журналист, цензор","Рус. ст, 1892, № 7, с. 101—102.",1892,письмо,одностороннее,Д. И. Хвостову. (1). 1814.,"","",1,Хвостов Д. И.,1814,Q4198598,
"Икскуль фон Гильденбанд, Варвара Ивановна","общественная деятельница, писательница, переводчик и издатель, сестра милосердия, благотворительница","Глеб Успенский. Материалы и исследования. Т. I. М.—Л., АН СССР, 1938, с. 255—353. (Ин-т рус. лит-ры).",1938,письмо,одностороннее,Г. И. Успенскому. (1). 3 дек. 1890.,"","",1,Успенский Г. И.,1890,Q4199100,Q171242
"Иловайский, Дмитрий Иванович","историк, публицист, автор пятитомной «Истории России», редактор и издатель газеты «Кремль»","Неизданные письма к А. Н. Островскому. Из архива А. Н. Островского по материалам Театр, музея им. А. А. Бахрушина. М.—Л., «Academia», 1932, 743 с. (Памятники лит. и общ. быта).",1932,письмо,одностороннее,А. Н. Островскому. (1). 25 февр. 1866.,"","",1,Островский А. Н.,1866,Q2636131,Q171976
"Иовский, Александр Алексеевич","химик, фармацевт и фармаколог","Изв. Отд. рус. яз. и словесн., 1901, т. VI, № 4, с. 237—238, 243—266.",1901,письмо,одностороннее,П. А. Вяземскому. (1). 26 окт. 1837.,"","",1,Вяземский П. А.,1837,Q4202605,
"Исаев, Павел Александрович","пасынок Достоевского, сын А.И. Исаева и М.Д. Исаевой","Достоевский. Статьи и материалы. Сборник 2-й. Под ред. А. С. Долинина. Л., «Мысль», 1925, 780 с.",1925,переписка,односторонняя,Ф. М. Достоевскому. (5). 1868—1879.,"","",5,Достоевский Ф. М.,1868|1879,,
"Кавелин, Константин Дмитриевич","историк, государствовед, психолог, социолог и публицист","Письма К. Дм. Кавелина и Ив. С Тургенева к А. И. Герцену. Женева, 1892, 227 с.",1892,переписка,односторонняя,А. И. Герцену. (11). 1857—1863.,"","",11,Герцен А. И.,1857|1863,,
"Кавелин, Константин Дмитриевич","историк, государствовед, психолог, социолог и публицист","Лит. насл., 1955, т. 62, с. 5—788.",1955,письмо,односторонняя,А. И. Герцену. (1). Начало 1858.,"","",1,Герцен А. И.,1858,Q2993155,
"Кавелин, Константин Дмитриевич","историк, государствовед, психолог, социолог и публицист","Памяти В. А. Гольцева. Под ред. А. А. Кизеветтера. М, Н. Н. Клочков, 1910, 304 с.",1910,переписка,односторонняя,В. А. Гольцеву. (2). 1884.,"","",2,Гольцев В. А.,1884,Q2993155,Q4142814
"Кавелин, Константин Дмитриевич","историк, государствовед, психолог, социолог и публицист","Письма к А. В. Дружинину. М., 1948, 423 с. (Летописи Гослитмузея, № 9).",1948,переписка,односторонняя,А. В. Дружинину. (2). 1860.,"","",2,Дружинин А. В.,1860,Q2993155,
"Кавелин, Константин Дмитриевич","историк, государствовед, психолог, социолог и публицист","Архив села Карабихи. М., К. Некрасов, 1916, с. 41—265.",1916,письмо,односторонняя,Н. А. Некрасову. (1). 1860.,"","",1,Некрасов Н. А.,1860,Q2993155,Q208003
"Кавелин, Константин Дмитриевич","историк, государствовед, психолог, социолог и публицист","Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,письмо,односторонняя,Н. А. Некрасову. (1). 1874.,"","",1,Некрасов Н. А.,1874,Q2993155,Q208003
"Кавелин, Константин Дмитриевич","историк, государствовед, психолог, социолог и публицист","Рус. ст., 1904, №№ 2—8.",1904,письмо,односторонняя,В. Ф. Одоевскому. (1). 17 февр. 1841.,"","",1,Одоевский В. Ф.,17|1841,,
"Каверин, Пётр Павлович","военный деятель, полковник","Рус. ст., 1896, №№ 1—4, 10.",1896,переписка,односторонняя,В. Г. Теплякову. (9). 1823—1825.,"","",9,Тепляков В. Г.,1823|1825,,
"Кавос, Альберт Катеринович","архитектор итальянского происхождения, академик архитектуры Императорской Академии художеств","Е. А. Баратынский. Материалы для его биографии. Из Татевского архива. Пг., 1916, с. 108—116.",1916,письмо,односторонняя,В. Ф. Одоевскому. (1). 1822—1827.,"","",1,Одоевский В. Ф.,1822|1827,,
