 source_id;source_full;pages;source_year_begin;source_year_end;place
2271;Лемке М. Николаевские жандармы и литература 1826—1855 гг. Пб., С. В. Бунин, 1908, с. 459—461.;459-461;1908;1908;Пб., С. В. Бунин
2272;Рус. архив, 1885, № 8, с. 573—583.;573-583;1885;1885;
2273;Рус. архив, 1885, № 8, с. 574—581.;574-581;1885;1885;
2274;Сев. пчела, 1842, № 77—78, 7—8 апр., с. 306, 307, 310, 311.;306, 307, 310, 311;1842;1842;
2275;Полярная зв., 1881, № 4, с. 3—31.;3-31;1881;1881;
2276;"Барсуков Н. Жизнь и труды М. П. Погодина, т. III. Пб., 1890, с. 266,323, 335; т. V, 1892, с. 51—56 , 325—326, 435,436; т. VI, 1892, с. 330, 331; т. IX, 1895, с. 423; т. X, 1896, с. 44—48, 456, 457.";44-48, 456, 457;1890;1896;Пб.
2277;Рус. филолог, вест., 1911, № 2, с. 340—342, 353, 555.;340-342, 353, 555;1911;1911;
2278;Москв., 1856, т. I, № 3, с. 227—233.;227-233;1856;1856;М.
2279;Рус. лит-ра, 1959, № 4, с. 184.;184;1959;1959;
2280;Рус. лит-ра, 1959, № 4, с. 185.;185;1959;1959;
2281;Вест. Евр., 1828, № 24, с. 300—304.;300-304;1828;1828;
2282;Ист. вест., 1889, № 8, с. 328—329.;328-329;1889;1889;
2283;Лит. насл., 1934, т. 16—18, с. 712.;712;1934;1934;
2284;Леман А. Рассказы. Пб., 1888, с. 16—20.;16-20;1888;1888;Пб.
2285;Гаршин В. М. Полное собрание сочинений, т. III. М.—Л., «Academia», 1934, с. 511.;511;1934;1934;М.-Л., «Academia»
2286;Гаршин В. М. Полное собрание сочинений, т. III. М.—Л., «Academia», 1934, с. 510, 516.;510, 516;1934;1934;М.-Л., «Academia»
2287;Лит. и попул.-науч. прилож. к «Ниве», 1911, № 1, с. 108—115, 133—136.;108-115, 133-136;1911;1911;
2288;Бирж, вед., 1917, № 10050, 20 янв., с. 6.;6;1917;1917;
2289;Рус. ст., 1908, № 11, с. 401—402.;401-402;1908;1908;
2290;Рус. мысль, 1912, № 1, отд. II, с. 39—42.;39-42;1912;1912;
2291;Неизданные письма к А. Н. Островскому. М.—Л., «Academia», 1932, с. 258—274.;258-274;1932;1932;М.-Л., «Academia»
2292;Горбунов И. Ф. Сочинения, т. III. Пб., 1907. с. 125.;125;1907;1907;Пб.
2293;Авчинникова-Архангельская В. Вселенское масонство и обновленное розенкрейцерство. Пб., 1911, с. 45—47.;45-47;1911;1911;Пб.
2294;Зв., 1927, № 12, с. 128—139.;128-139;1927;1927;
2295;Некрасов Н. А. Полное собрание сочинений и писем: В 15 т. СПб. : Наука, 1999. Т. 14, кн. 2. Письма. 1856-1862. 353, [2] с.;;1999;1999;СПб.: Наука
2296;Некрасов Н. А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.;;2000;2000;СПб.: Наука
2297;Некрасов Н. А. Полное собрание сочинений и писем: Наука, 1998. Т. 14, кн. 1. Письма. 1840-1855. 371 с., [1] л. портр.;;1998;1998;СПб.: Наука
2298;Лит. насл.,1949, т. 51—52, с. 18, 33, 39, 40, 262—270.;18, 33, 39, 40, 262-270;1949;1949;
2299;Некрасов Н. А. Полное собрание сочинений и писем: В 15 т. СПб.: Наука, 2000. Т. 15, кн. 1. Письма. 1863-1872. 350, [1] с., [1] л. портр.;;2000;2000;СПб.: Наука
2300;Кн. и рев., 1921, № 2, с. 68.;68;1921;1921;
2301;"Рус. мысль, 1913, № 1, отд. II, с. 128—131; № 2, отд. II, с. 98— 101; № 4, отд. II, с. 115—124; № 7, отд. II, с. 115—133; 1914, № 1, отд. II, с. 126—139; 1915, № 1, отд. II, с. 116—127.";116-127;1913;1915;
2302;Зв., 1927, № 12, с. 128—139;128-139;1927;1927;
2303;Неизданные письма к А. Н. Островскому. М.—Л., «Асаdemia», 1932, с. 315—316.;315-316;1932;1932;М.-Л., «Асаdemia»
2304;Письма русских писателей к А. С. Суворину. Л., Публ. б-ка, 1927, с. 97.;97;1927;1927;Л., Публ. б-ка
2305;Звенья, т. VIII. М., Гослитмузей, 1950, с. 265—358.;265-358;1950;1950;М., Гослитмузей
2306;Некрасовский сборник, т. II, М.—Л., АН СССР, 1956, с. 425.;425;1956;1956;М.-Л., АН СССР
2307;Mazon А. Manuscrits parisiens cTIvan Tourguenev. Notices et extraits. Paris, 1930, p. 106.;106;1930;1930;Paris
2308;Горбунов И. Ф. Сочинения, т. III. Пб., 1907, с. 73—74.;73-74;1907;1907;Пб.
2309;Голос мин., 1916, № 9, с. 183.;183;1916;1916;
2310;Зап. Отдела рукописей Б-ки СССР им. В. И. Ленина, вып. 5. М., 1940, с. 30.;30;1940;1940;М.
2311;П. В. Анненков и его друзья, т. I. Пб., А. С. Суворин, 1892, с. 632—636.;632-636;1892;1892;Пб., А. С. Суворин
2312;Лит. насл., 1959, т. 67, с. 486—487.;486-487;1959;1959;
2313;Некрасовский сборник, т. П. М.—Л., АН СССР, 1956, с. 433.;433;1956;1956;М.-Л., АН СССР
2314;Голос мин., 1914, № 9, с. 202—207.;202-207;1914;1914;
2315;Ежем. лит. и попул.-науч. прилож. к «Ниве», 1904, № 1, с. 57—58.;57-58;1904;1904;
2316;Вест. всемирной ист., 1901, № 1, с. 158—159.;158-159;1901;1901;
2317;Зап. Отдела рукописей Б-ки СССР им. В. И. Ленина, 1941, вып. 8, с. 41.;41;1941;1941;
2318;Театр и иск-во, 1907, № 1, с. 10.;10;1907;1907;
2319;Лит. насл., 1946, т. 49—50.;;1946;1946;
2320;Горбунов И. Ф. Сочинения, т. III. Пб., 1907 , с. 81.;81;1907;1907;Пб.
2321;Лит. насл., 1949, т. 51—52, с. 413—414.;413-414;1949;1949;
2322;Лит. зап., 1922, № 2, с. 10—11.;10-11;1922;1922;
2323;Вест. лит-ры, 1921, № 3, с. 9—10.;9-10;1921;1921;
2324;Курьер, 1902, № 285, 15 окт., с 4.;;1902;1902;
2325;Наша жизнь, 1905, № 202, 9 авг., с. 3—4.;3-4;1905;1905;
2326;"Русь, 1903, № 11, 21 дек., с. 5; 1905, № 18, 25 янв., с. 1; № 34, 10 февр., с. 1.";1;1903;1905;
2327;"Рус. сл., 1904, № 254, 12 сент., с. 2; № 261, 19 сент., с. 3; 1907, № 263, 15 ноября, с. 4; 1910, № 181, 8 авг., с. 6.";6;1904;1910;
2328;Сл., 1907, № 62, 31 янв., с. 4.;4;1907;1907;
2329;Голос мин., 1917, № 2, с. 256—259.;256-259;1917;1917;
2330;Уч. зап. Шуйского пед. ин-та, 1958, вып. 7, с. 149.;149;1958;1958;
2331;М. М. Стасюлевич и его современники в их переписке, т. V. Пб., 1913, с. 257—293.;257-293;1913;1913;Пб.
2332;Лит. насл., 1949, т. 51—52, с. 415—417.;415-417;1949;1949;
2333;"Рус. ст., 1889, № 7, с. 163—176; № 8, с. 363—385.";363-385;1889;1889;
2334;Письма русских писателей к А. С. Суворину. Л., Публ. б-ка, 1927, с. 98, 99, 206.;98, 99, 206;1927;1927;Л., Публ. б-ка
2335;Никитин И. С. Сочинения. М., Гослитиздат, 1955, с. 220—221.;220-221;1955;1955;М., Гослитиздат
2336;Вест. знания, 1925, № 1, с. 55—59.;55-59;1925;1925;
2337;Воронежская литературная беседа, сборник 1. Воронеж, Губполитпросвет и Никитинский музей, 1925, с. 49—51.;49-51;1925;1925;Воронеж, Губполитпросвет и Никитинский музей
2338;Звенья, т. II. М.—Л., «Academia», 1933, с. 480—486.;480-486;1933;1933;М.-Л., «Academia»
2339;30 дней, 1936, № 6, с. 69—73.;69-73;1936;1936;
2340;Лит. насл., 1958, т. 64, с. 562, 591—593.;562, 591-593;1958;1958;
2341;Лит. насл., 1959, т. 67, с. 744.;744;1959;1959;
2342;Лит. насл., 1959, т. 67, с. 741—742.;741-742;1959;1959;
2343;Лит. насл., 1953, т. 61, с. 259, 260, 578—580, 703— 909.;259, 260, 578-580, 703- 909;1953;1953;
2344;Лит. насл., 1955, т. 62, с. 476—478, 480—482.;476-478, 480-482;1955;1955;
2345;Лит. насл., 1953, т. 61, с. 828—829.;828-829;1953;1953;
2346;Лит. насл., 1958, т. 64, с. 485.;485;1958;1958;
2347;Лит. насл., 1955, т. 62, с. 74.;74;1955;1955;
2348;П. В. Анненков и его друзья, т. I. Пб., А. С. Суворин, 1892, с. 636—655.;636-655;1892;1892;Пб., А. С. Суворин
2349;Сборник Публичной библиотеки им. М. Е. Салтыкова-Щедрина, вып. 3. Л., 1955, с. 95—503.;95-503;1955;1955;Л.
2350;Лит. насл., 1956, т. 60, кн. 1, с. 262—264.;262-264;1956;1956;
2351;Белинский В. Г. Полное собрание сочинений, т. VIII. М., АН СССР, 1955, с. 685.;685;1955;1955;М., АН СССР
2352;Рус. ст., 1904, № 6, с. 572, 588, 589.;572, 588, 589;1904;1904;
2353;Фет А. Мои воспоминания, ч. II. М., 1890, с. 17—18.;17-18;1890;1890;М.
2354;Одоевский В. Ф. Музыкально- литературное наследие, М., Музгиз, 1956, с. 194—197, 222—225, 229—237, 276—285, 307, 308, 489—529.;194-197, 222-225, 229-237, 276-285, 307, 308, 489-529;1956;1956;М., Музгиз
2355;Рус. ст., 1898, № 4, с. 206.;206;1898;1898;
2356;Тр. Львовского ун-та, Каф. рус. лит-ры Филолог. фак-та, 1958, вып. 2, с. 71—72.;71-72;1958;1958;Львов
2357;Островский. 1823—1923. К столетию со дня рождения. М., 1923, с. 15.;15;1923;1923;М.
2358;Неизданные письма к А. Н. Островскому. М.—Л., «Academia», 1932, с. 317—320.;317-320;1923;1923;М.-Л., «Academia»
2359;Переписка Я. К. Грота с И. А. Плетневым, т. III. Пб., 1896, с. 774—775.;774-775;1896;1896;Пб.
2360;Рус. обозр., 1894, № 3, с. 422—435.;422-435;1894;1894;
2361;Пятковский А. П. Князь В. Ф. Одоевский и Д. В. Веневитинов. Историко-литературные характеристики Изд. 3-е. Пб., «Наблюдатель », 1901, с. 66.;66;1901;1901;Пб., «Наблюдатель»
2362;"Пушкин А. С. Полное собрание сочинений, т. XV. М.—Л., АН СССР, 1948, с. 56, 84; т. XVI, 1949, с. 28, 89, 93, 195, 196.";28, 89, 93, 195, 196;1948;1949;М.-Л., АН СССР
2363;Сборник статей, читанных в Отд. рус. яз. и словесн. имп. АН, 1868, т. V, вып. 2, с. 397—398.;397-398;1868;1868;АН
2364;Рус. ст., 1880, № 8, с. 802—805.;802-805;1880;1880;
2365;Архив Опеки Пушкина. М., Гослитмузей, 1939, с. 171, 208. (Летописи Гослитмузея, № 5).;171, 208;1939;1939;М., Гослитмузей
2366;Рус. архив, 1906, № 3, с. 368.;368;1906;1906;
2367;"Рус. ст., 1895. № 2, с. 64—65; № 3, с. 62, 68.";62, 68;1895;1895;
2368;Мнемозина, 1824, ч. II, с. 173—185.;173-185;1824;1824;
2369;Уч. зап. Ленингр. научн.-иссл. ин-та театра, музыки и кинематографии, 1958, т. II, сектор музыки, с. 279—281.;279-281;1958;1958;
2370;Рус. ст., 1875, № 7, с. 369.;369;1875;1875;
2371;Одоевский и Общество посещения бедных в С.-Петербурге. Пб., 1899, прилож., с. 32—35.;32-35;1899;1899;Пб.
2372;Вопросы изучения русской литературы XI—XX веков. М.—Л., АН СССР, 1958, с. 144.;144;1958;1958;М.-Л., АН СССР
2373;Лит. насл., 1934, т. 16—18, с. 686—687.;686-687;1934;1934;
2374;Рус. архив, 1870, №№ 4—5, с. 929—931.;929-931;1870;1870;
2375;Киевская ст., 1883, № 4, с. 841—846.;841-846;1883;1883;
2376;Щукинский сборник, вып. 6. М., 1907, с. 326—327.;326-327;1907;1907;М.
2377;Рус. ст., 1902, № 9, с. 631—632.;631-632;1902;1902;
2378;Рус. ст., 1880, № 8, с. 802—804.;802-804;1880;1880;
2379;Щукинский сборник, вып. 6. М., 1907, с. 328.;328;1907;1907;М.
2380;Архив села Карабихи. Письма Н. А. Некрасова и к Некрасову. М., К. Ф. Некрасов, 1916, с. 132—135, 294, 295.;132-135, 294, 295;1916;1916;М., К. Ф. Некрасов
2381;Козмин Н. К. Очерки из истории русского романтизма. Пб., 1903, с. 521—522.;521-522;1903;1903;Пб.
2382;Пушкин. Исследования и материалы. Т. I. М.—Л., АН СССР, 1956, с. 321.;321;1956;1956;М.-Л., АН СССР
2383;Пушкин А. С. Полное собрание сочинений, т. XVI. М.-Л., АН СССР, 1949, с. 232.;232;1949;1949;М.-Л., АН СССР
2384;Рус. архив, 1879, № 4, с. 525—526.;525-526;1879;1879;
2385;Лит. насл., 1952, т. 58, с. 150.;150;1952;1952;
2386;Переписка Я. К. Грота с П. А. Плетневым, т. III. Пб., 1896, с. 774—775.;774-775;1896;1896;Пб.
2387;Рус. архив, 1912, № 9, с. 85—86.;85-86;1912;1912;
2388;Сев. пчела, 1829, № 55, 7 мая.;;1829;1829;
2389;Лит. насл., 1952, т. 58, с. 60—70.;60-70;1952;1952;
2390;Е. А. Баратынский. Материалы для его биографии. Из Татевского архива. Пг., 1916, с. 123.;123;1916;1916;Пг.
2391;Лит. насл., 1934, т. 16—18, с. 752.;752;1934;1934;
2392;Уч. зап. Ленингр. науч.-иссл. ин-та театра, музыки и кинематографии, 1958, т. II, сектор музыки, с. 271—272.;271-272;1958;1958;
2393;Рус. ст., 1892, № 4, с. 136—137.;136-137;1892;1892;
2394;Изв. АН СССР, серия ист. и философии, 1949, т. VI, № 3, с. 220.;220;1949;1949;
2395;Рус. архив, 1878, № 5, с. 55—58.;55-58;1878;1878;
2396;Изв. АН СССР, серия ист. и философии, 1949, т. VI, № 3, с. 217—218.;217-218;1949;1949;
2397;Отчет имп. Публичной библиотеки за 1892 год. Пб., 1895, прилож., с. 53—57.;53-57;1895;1895;Пб.
2398;Уч. зап. Вильнюсского ун-та, 1954, т. I, серия общ. наук, с. 168—170.;168-170;1954;1954;
2399;Переписка Я. К. Грота с П. А. Плетневым, т. I. Пб., 1896, с. 676.;676;1896;1896;Пб.
2400;Лит. насл., 1952, т. 58, с. 287—296.;287-296;1952;1952;
2401;Рус. ст., 1887, № ю, с. 128—129.;128-129;1887;1887;
2402;Рус. архив, 1869, № 1, с. 123—151.;123-151;1869;1869;
2403;Рус. архив, 1875, № 11, с. 363.;363;1875;1875;
2404;Рус. архив, 1877, № 11, с. 279.;279;1877;1877;
2405;Рус. архив, 1869, № 1, с. 151—152.;151-152;1869;1869;
2406;Островский. Новые материалы. Л., ГИЗ, 1924, с. 269—296. (Пушкинский дом).;269-296;1924;1924;Л., ГИЗ
2407;Театральное наследство. Сообщения и публикации. М., «Искусство », 1956, с. 299—305.;299-305;1956;1956;М., «Искусство »
2408;Уч. зап. Шуйского пед. ин-та, 1958, вып. 7, с. 152.;152;1958;1958;
2409;Рус. лит-ра, 1959, № 4, с. 202—203.;202-203;1959;1959;
2410;Коммунар, Тула, 1934, № 145, 29 июня, с. 4.;4;1934;1934;Тула
2411;Островский А. Н. Полное собрание сочинений в 12-ти т.: Т. 11: Письма. (1848—1880). — Москва: Искусство, 1979. ;;1979;1979;Москва: Искусство
2412;Островский А. Н. Полное собрание сочинений в 12-ти т.: Т. 12: Письма. (1881—1886). — Москва: Искусство, 1980. ;;1980;1980;Москва: Искусство
2413;Рус. архив, 1897, № 3, с. 445—463.;445-463;1897;1897;
2414;Смена, 1957, № 13, с. 24.;24;1957;1957;
2415;"Барсуков Н. Жизнь и труды М. П. Погодина, тт. VII, XI. Пб., 1893—1897; т. VII, с. 131—132; т. XI, с. 537—538.";537-538;1893;1897;Пб.
2416;Рус. ст., 1904, № 4, с. 193—202.;193-202;1904;1904;
2417;Рус. обозр., 1898, № 3, с. 84—86.;84-86;1898;1898;
2418;Рус. ст., 1901, № 8, с. 434.;434;1901;1901;
2419;Е. А. Баратынский. Материалы к его биографии. Из Татевского архива Рачинских. Пг., 1916, с. 106.;106;1916;1916;Пг.
2420;Лит. насл., 1934, т. 16—18, с. 717.;717;1934;1934;
2421;"Жизнь и труды М. П. Погодина, тт. IV. VIII—XI. Пб., 1891—1897; т. IV, с. 363; т. VIII, с. 206; т. IX, с. 140; т. X, с. 312; т. XI, с. 451.";451;1891;1897;Пб.
2422;"Уч. зап. Каф. рус. лит-ры Моск. обл. пед. ин-та им. Н. К. Крупской, 1939, вып. 2, с. 73, 75, 89, 90; 98, 120.";"73, 75, 89, 90; 98, 120";1939;1939;
2423;Герцен А. И. Полное собрание сочинений и писем, т. XV. Пг., ГИЗ, 1920, с. 58—63.;58-63;1920;1920;Пг., ГИЗ
2424;Рус. обозр., 1898, № 3, с. 83.;83;1898;1898;
2425;Е. А. Баратынский. Материалы к его биографии. Из Татевского архива Рачинских. Пг., 1916, с. 118—119.;118-119;1916;1916;Пг.
2426;П. Бартенева: Рус. архив, 1897, № 4, с. 556—578.;556-578;1897;1897;
2427;Павлова К. Собрание сочинений, т. II. М., К. Ф. Некрасов, 1915, с. 319—320.;319-320;1915;1915;М., К. Ф. Некрасов
2428;Толстой А. К. Полное собрание стихотворений. Л., «Сов. писатель», 1937, с. 779. (Б-ка поэта).;779;1937;1937;Л., «Сов. писатель»
2429;Micluewicz W. Zywot Ad am a Mickiewicza. Podiug zebranych przez siebie materyalow, t. I. Poznan, 1890, s. XLIV—XLVI.;44-46;1890;1890;Poznan
2430;Мицкевич А. Собрание сочинений, т. V. М., 1954, с. 695—696.;695-696;1954;1954;М.
2431;Павлова К. Собрание сочинений, т. II. М., К. Ф. Некрасов, 1915, с. 321—334, 416—418.;321-334, 416-418;1915;1915;М., К. Ф. Некрасов
2432;М. М. Стасюлевич и его современники в их переписке, т. II. Пб., 1892, с. 455.;455;1892;1892;Пб.
2433;Рус. обозр., 1894, № 12, с. 962—963.;962-963;1894;1894;
2434;Е. А. Баратынский. Материалы к его биографии. Из Татевского архива Рачинских. Пг., 1916, с. 117—118.;117-118;1916;1916;Пг.
2435;Новое вр., 1880, № 1717, 7 дек., с. 5.;5;1880;1880;
2436;Лит. насл., 1949, т. 51—52, с. 428—429.;428-429;1949;1949;
2437;Письма русских литературно—общественных деятелей к Н. Я. Николадзе. Тбилиси, «Заря Востока», 1949, с. 80—81.;80-81;1949;1949;Тбилиси, «Заря Востока»
2438;Ист. вест., 1911, № 3, с. 1056—1059.;1056-1059;1911;1911;
2439;Дело петрашевцев, т. III. М.—Л., АН СССР, 1951, с. 255—266.;255-266;1951;1951;М.-Л., АН СССР
2440;Мышковская Л. Чехов и юмористические журналы 80-х годов. М., «Моск. рабочий», 1929, с. 25—26.;25-26;1929;1929;М., «Моск. рабочий»
2441;"Чехов А. П. Полное собрание сочинений и писем, т. II. М., Гослитиздат, 1946, с. 581; т. IV. М., 1946, с. 602.";602;1846;1846;М.
2442;Н. А. Лейкин в его воспоминаниях и переписке. Пб., Р. Голике и А. Вильборг, 1907, с. 220—221.;220-221;1907;1907;Пб., Р. Голике и А. Вильборг
2443;Рус. мысль, 1903, № 4, отд. II, с. 150—153.;150-153;1903;1903;
2444;Н. А. Лейкин в его воспоминаниях и переписке. Пб., Р. Голике и А. Вильборг, 1907, с. 201—207, 214—218, 222.;201-207, 214-218, 222;1907;1907;Пб., Р. Голике и А. Вильборг
2445;Моск. листок, 1884, № 15, 16 янв., с. 4.;4;1884;1884;
2446;Ст. и новизна, 1905, № 9, с. 330—331.;330-331;1905;1905;
2447;Шишков А. С. Записки, мнения и переписка, т. II. Berlin—Прага, Н. Киселев и Ю. Самарин, 1870, с. 445.;445;1870;1870;Berlin - Прага, Н. Киселев и Ю. Самарин
2448;Рус. ст., 1904, № 9, с. 666—667.;666-667;1904;1904;
2449;Замотин И. И. Романтизм двадцатых годов XIX столетия в русской литературе, т. II, изд. 2-е, проем, и доп. Пб.—М., М. О. Вольф, 1913, с. 301—302.;301-302;1913;1913;Пб.-М., М. О. Вольф
2450;"Барсуков Н. Жизнь и труды М. П. Погодина, т. IV. Пб., 1891, с. 414; т. XII. Пб., 1898, с. 38; 427, 531; т. X III. Пб., 1899, с. 68, 226, 238.";68, 226, 238;1891;1899;Пб.
2451;Письма к А. В. Дружинину. М., Гослитиздат, 1948, с. 243—245. (Летописи Гослитмузея, № 9).;243-245;1948;1948;М., Гослитиздат
2452;Панаева А. Семейство Тальниковых. Л., «Academia», 1928, с. 98—100.;98-100;1928;1928;Л., «Academia»
2453;Рус. мысль, 1892, № 7, с. 96—97.;96-97;1892;1892;
2454;Литературно-библиологический сборник. Пг., 1918, с. 74—76.;74-76;1918;1918;Пг.
2455;Рус. ст., 1895, № 1, с. 114.;114;1895;1895;
2456;Белинский В. Г. Письма, т. III, Пб., 1914, с. 375.;375;1914;1914;Пб.
2457;Лит. насл., 1950, т. 56, с. 135—136, 185, 186, 193.;135-136, 185, 186, 193;1950;1950;
2458;Тургенев и круг «Современника». М. —Л., «Academia», 1930, с. 363—450.;363-450;1930;1930;М.-Л., «Academia»
2459;Некрасовский сборник, т. II. М.—Л., АН СССР, 1956, с. 424—428.;424-428;1956;1956;М.-Л., АН СССР
2460;Черняк Я. З. Огарев, Некрасов, Герцен, Чернышевский в споре об огаревском наследстве. М.—Л., «Academia», 1933, с. 520—521.;520-521;1933;1933;М.-Л., «Academia»
2461;Литературная мысль, т. II. Пб., «Мысль», 1923, с. 192—198.;192-198;1923;1923;Пб., «Мысль»
2462;Тургенев и круг «Современника». М.—Л., «Academia», 1930, с. 1 — 111.;1 - 111;1930;1930;М.-Л., «Academia»
2463;Совр., 1850, т. XXIV, № 11, отд. VI, с. 92—94.;92-94;1850;1850;
2464;Белинский В. Г. Полное собрание сочинений, т. XI. М., АН СССР, 1956, с. 436.;436;1956;1956;М., АН СССР
2465;Тр. Всесоюз. б-ки им. В. И. Ленина, 1939, № 4, с. 208—214.;208-214;1939;1939;
2466;Кр. новь, 1928, № 9, с. 214—230.;214-230;1928;1928;
2467;Тр. Публ. б-ки им. М. Е. Салтыкова-Щедрина, 1957, т. III, с. 197.;197;1957;1957;
2468;Черняк Я. З. Огарев, Некрасов, Герцен, Чернышевский в споре об огаревском наследстве. М.—Л., «Асаdemia», 1933, с. 383—385.;383-385;1933;1933;М.-Л., «Асаdemia»
2469;Сборник Пушкинского дома на 1923 г. Пг., ГИЗ, 1922, с. 213—232.;213-232;1923;1923;Пг., ГИЗ
2470;Голос мин., 1915, № 9, с. 58.;58;1915;1915;
2471;Сборник Публ. б-ки им. М. Е. Салтыкова-Щедрина, 1955, вып. 3, с. 61—64.;61-64;1955;1955;
2472;Черняк Я. З. Огарев, Некрасов, Герцен, Чернышевский в споре об огаревском наследстве. М.—Л., «Academia», 1933, с. 341, 342, 348, 349.;341, 342, 348, 349;1933;1933;М.-Л., «Academia»
2473;Новые пропилеи, т. I. М.—Пг., ГИЗ, 1923, с. 17—19.;17-19;1923;1923;М.-Пг., ГИЗ
2474;Белинский. Письма, т. III, Пб., 1914, с. 360—364.;360-364;1914;1914;Пб.
2475;Писемский А. Ф. Письма. М.—Л., АН СССР, 1936, с. 649.;649;1936;1936;М.-Л., АН СССР
2476;Тр. Всесоюз. б-ки им. В. И. Ленина, 1939, № 4, с. 214—216.;214-216;1939;1939;
2477;Евгеньев-Максимов В. Е. «Современник» при Чернышевском и Добролюбове. Л., ГИХЛ, 1936, с. 98.;98;1936;1936;Л., ГИХЛ
2478;Голос мин., 1917, № 11—12, с. 244, 245, 248, 249.;244, 245, 248, 249;1917;1917;
2479;Некрасов Н. А. Полное собрание сочинений и писем, т. X. М., Гослитиздат, 1952, с. 397, 398, 402—404.;397, 398, 402-404;1952;1952;М., Гослитиздат
2480;Некрасов Н. Неизданные стихотворения, варианты и письма. Пг., М. и С. Сабашниковы, 1922, с. 253—254, 256, 257, 260, 261, 265—267.;253-254, 256, 257, 260, 261, 265-267;1922;1922;Пг., М. и С. Сабашниковы
2481;Лит. насл., 1946, т. 49— 50, с. 630;630;1946;1946;
2482;Чернышевский Н. Г. Полное собрание сочинений, т. XIV, М., Гослитиздат. 1949, с. 721.;721;1949;1949;М., Гослитиздат
2483;Искра, 1862, № 7, с. 104.;104;1862;1862;
2484;Лит. насл., 1950, т. 53—54, с. 120—128.;120-128;1950;1950;
2485;Черняк Я. З. Огарев, Некрасов, Герцен, Чернышевский в споре об огаревском наследстве. М.—Л., «Academia», 1933, см. именной указатель.;;1933;1933;М.-Л., «Academia»
2486;Русские пропилеи, т. IV. М., М. и С. Сабашниковы, 1917, с. 83—86, 95—98, 117.;83-86, 95-98, 117;1917;1917;М., М. и С. Сабашниковы
2487;Лит. насл., 1950, т. 53—54, с. 117—119.;117-119;1950;1950;
2488;Лит. насл., 1946, т. 49—50, с. 549—550.;549-550;1946;1946;
2489;Пушкин А. С. Полное собрание сочинений, т. XV. М.— Л., 1948, с. 48.;48;1948;1948;М.-Л.
2490;Толстой А. К. Полное собрание стихотворений, т. I. Л., «Сов. писатель», 1937, с. 8.;8;1937;1937;Л., «Сов. писатель»
2491;Барсуков Н. Жизнь и труды М. П. Погодина, т. III. Пб., 1890, с. 166—167.;166-167;1890;1890;Пб.
2492;Кочубинский А. А. Адмирал Шишков и канцлер граф Румянцов. Начальные годы русского славяноведения. Одесса, 1887—1888, с. С—CIV.;;1887;1888;Одесса
2493;Каторга и ссылка, 1930, № 2, с. 106—110.;106-110;1930;1930;
2494;Звенья, т. V. М. — Л., «Academia», 1935, с. 755—759.;755-759;1935;1935;М.-Л., «Academia»
2495;Соловьев Е. Д. И. Писарев, его жизнь и литературная деятельность, изд. 2-е. Пб., 1894, с. 20, 25, 58, 60, 61, 82—85 , 93—100, 107, 108, 112, 141, 142.;20, 25, 58, 60, 61, 82-85 , 93-100, 107, 108, 112, 141, 142;1894;1894;Пб.
2496;Кр. архив, 1924, т. V, с. 248—257.;248-257;1924;1924;
2497;Из истории русской журналистики. М., Моск. ун-т, 1959 с. 225.;225;1959;1959;М., Моск. ун-т
2498;Сборник Публ. б-ки им. М. Е. Салтыкова-Щедрина, 1955, т. III, с. 95.;95;1955;1955;
2499;Звенья, т. VI. М.—Л., «Academia», 1936, с. 633.;633;1936;1936;М.-Л., «Academia»
2500;Писарев Д. И. Сочинения, т. IV. М., Гослитиздат, 1956, с. 423—425.;423-425;1956;1956;М., Гослитиздат
2501;Шестидесятые годы. М.—Л., АН СССР, 1940, с. 107—172.;107-172;1940;1940;М.-Л., АН СССР
2502;Нива, 1918, № 27, с. 119.;119;1918;1918;
2503;Шелгунов Н. В. Воспоминания. М.—Пг., ГИЗ, 1923, с. 172—177. (Б-ка мемуаров).;172-177;1923;1923;М.-Пг., ГИЗ
2504;Соловьев Е. Д. И. Писарев, его жизнь и литературная деятельность, изд. 2-е. Пб., 1894, с. 106—107.;106-107;1894;1894;Пб.
2505;Лит. насл., 1936, т. 25—26, с. 645—654.;645-654;1936;1936;
2506;Pvc. ст., 1900, № 10, с. 111—114.;111-114;1900;1900;
2507;Зап. отдела рукописей Всесоюз. б-ки им. В. И. Ленина, 1940, вып. 9.;;1940;1940;
2508;Кр. архив, 1928, т. IV, с. 210—218.;210-218;1928;1928;
2509;П.: Письма. М—Л., АН СССР, 1936, с. 333, 334, 368, 369, 405, 407, 423, 436, 454, 476, 477, 514.;333, 334, 368, 369, 405, 407, 423, 436, 454, 476, 477, 514;1936;1936;М-Л., АН СССР
2510;Уч. зап. Азербайджанского пед. ин-та рус. яз. и лит-ры, 1957, вып. 2, с. 84.;84;1957;1957;
2511;Уч. зап. Азербайджанского пед. ин-та рус. яз. и лит-ры, 1957, вып. 2, с. 84—85.;84-85;1957;1957;
2512;Чт. в Об-ве ист. и древностей Российских, 1873, № 2, отд. V, с. 269.;269;1873;1873;
2513;"Лит. насл., 1952; т. 58, с. 50.";50;1952;1952;
2514;Рус. ст., 1891, № 2, с. 431—448.;431-448;1891;1891;
