number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
397;И. И. Дмитриев;м;22 ноября 1818;Петербург;Милостивый государь Иван Иванович;Я имел честь получить от Тургенева экземпляр нового издания сочине­ний Ваших: примите мою искреннюю благодарность и за драгоценный пода­рок, и за надпись;Вашего высокопревосходительства покорнейший слуга Жуковский;16;37;;РНБ. Оп. 2. No 73. Л. 87—88;;РА. 1870. Стб. 1705—1707 — без заключительных слов: после «Примите» добавлено: «и пр.»;автограф
398;А. П. Елагина;ж;Ноябрь (около 24) 1818;Петербург;Милая Дуняша;Милая Дуняша, что с Вами сделалось? Сколько времени не знаем мы ни­чего друг о друге;;16;38;;неизвестен;РНБ. Оп. 2. No 442. Л. 15—17, с пометами: «(1818, осенью. СПб.)», «Ноябрь»;ЖМНП. 1869. Ч. 143. No 5. С. 78. (отрывок). Полностью: УС. С. 27—29, с пометой «(Ноябрь 1818 г.)»;копия
399;К. Я. Булгаков;м;Ноябрь 1818;Петербург;моя радость;Обнимаю тебя, моя радость! Давно мы не писали друг к другу — а, право, любим друг друга;Жучка;16;40;;НИОР РГБ. Ф. 41. Карт. 82. No 24. Л. 3. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
400;А. Н. Арбенева;ж;Ноябрь 1818;Петербург;милая;Вот Вам, милая, вместо письма стихи. В них найдете меня;;16;41;;РО ИРЛИ. Ф. 18 (П. И. Бартенев). No 24. Л. 11. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
401;А. П. Зонтаг;ж;18 декабря 1818;Петербург;Милая Анетушка;Милая Анетушка! Простираю к Вам губы свои и целую Вас с миром и с му­жем;;16;41;;РО ИРЛИ. No 29405. Л. 7—8. Б. г.;1) РНБ. Оп. 2. No 444. Л. 11—12 об. — рукою А. П. Елагиной. 2) ИРЛИ. Архив Грота. No 16000. Л. 4—4 об. — рукою А. П. Зонтаг.;"Грот. С. 10; УС. 93—94.";автограф
402;Ф. Г. Покровский;м;23 декабря 1818;Петербург;почтеннейший Феофилакт Гаврилович;Извините, почтеннейший Феофилакт Гаврилович, что отвечаю к Вам не­сколько поздно — виноват;Ваш покорнейший слуга Жуковский;16;43;;неизвестен;неизвестен;Москвитянин. 1856. Ч. IV. С. 278;текст первой публикации
403;К. Я. Булгаков;м;1818;Петербург;Милый Почтдиректор;Милый Почтдиректор, прошу тебя передать немедленно это письмо;твой востропокорный слуголюб Жуковский;16;43;;НИОР РГБ. Ф. 41. Карт. 82. No 27. Л. 2. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
404;А. И. Тургенев;м;1 января 1819;Дерпт;;Завтра в 11-м часу я к тебе буду. Заедем и к канцлеру;;16;43;стих. Часть;РНБ. Оп. 2. No 156. Л. 1;;ПЖТ. С. 190;автограф
405;К. Моргенштерн;м;Апрель 1819;Петербург;;On ne refuse jamais ce qui fait plaisir;Tout à vous Joukoffsky;16;44;;неизвестен;неизвестен;Ученые запискиЮрьевского университета. 1905. No 5. Приложение. С. 91;текст первой публикации
406;А. А. Прокопович-Антонский ;м;13 мая 1819;Петербург;;Давно я не писал к Вам, но прошу Вас на меня не сердиться;Ваш покорнейший слуга Жуковский;16;44;;неизвестен;неизвестен;РА. 1883. No 2. С. 327. Републикация: РА. 1902. No 5. С. 141 (с сокращениями и разночтениями);текст первой публикации
407;"А. П. Зонтаг; А. П. Елагина";"ж; ж";22 июля 1819;Павловск;Милая Анета;Милая Анета, посылаю Вам письмо к Василью Николаевичу;;16;45;;РО ИРЛИ. No 29405. Л. 9—10. Б. г.;1) РО ИРЛИ (К.Я. Грот). No 16000. Л. 4 об. — 5 — рукою А. П. Зонтаг. 2) РНБ. No 444. Оп. 2. Л. 13—14 об. — рукою А. П. Елагиной.;"Грот. С. 10; УС. 93—94";автограф
408;В. А. Перовский;м;14 августа 1819;Павловск;Василий Алексеевич;Думал ли я, что первый лист из новокупленной мною бумаги у г-на Оль- хина употреблю на то, чтобы своими письменными убеждениями стараться укротить гнев Ваш;Ваш покорнейший слуга-дурак Василий Жуковский;16;46;;РО ИРЛИ. Р. I. Оп. 9. No 78. Л. 1—1 об. Б. д.;РНБ. Оп. 2. No 117. Л. 1;ВЕ. 1901. No 4. С. 531—532;автограф
409;П. А. Вяземский;м;2 сентября 1819;Павловск;;Начиная к тебе письмо, мне бы надобно было сказать: со страхом Божиим и верою приступите;;16;47;;РГАЛИ. Ф. 195. Оп. 1. No 1909а. Л. 15—16, 24—24 об. Б. г. (с пометами А. И. Тургенева);1) РГАЛИ. Ф. 195. Оп. 1. No 1909а. Л. 25—26 об. Б. д. (рукою А. И. Тургенева). 2) РНБ. Ф. 167. No 49. Л. 2—5. Б. д. Рукою А. И. Тургенева, до слов: «...ты подожжешь мое вдохновение!»;ПСС Жуковский в 20 т., т. 16;автограф
410;Н. М. Лонгинов;м;3 сентября 1819;Павловск;;Посылаю Вам, почтеннейший Николай Михайлович, тот манускрипт, о ко­тором я уже имел честь говорить с Вами, и повторяю просьбу мою о представ­лении его ее императорскому величеству;Ваш покорнейший слуга Жуковский;16;50;;РГИА. Ф. 535. Оп. 1. No 14. Л. 139—139 об. — беловой;;ПСС Жуковский в 20 т., т. 16;автограф
411;Н. М. Лонгинов;м;24 сентября 1819;Петербург;почтеннейший Николай Михайлович;Благодарю Вас, почтеннейший Николай Михайлович, за доставление пер­стня;Ваш покорнейший слуга Жуковский;16;51;;РО ИРЛИ. No 23678 (архив Н. М. Лонгинова). Л. 1—2 об. Б. г.;;ПСС Жуковский в 20 т., т. 16;автограф
412;А. А. Прокопович-Антонский;м;26 ноября 1819;Петербург;почтеннейший Антон Антонович;Здоровы ли Вы, почтеннейший Антон Антонович? Давно Вы не имеете от меня вести ни прозаической, ни стихотворной;Ваш покорнейший слуга Жуковский;16;52;;неизвестен;неизвестен;РА. 1883. No 2. С. 328. Републикация: РА. 1902. No 5. С. 142 (с сокращениями и разночтениями);текст первой публикации
413;Великая княгиня Александра Федоровна;ж;9 декабря 1819;Петербург;Ваше Императорское Высочество;От всего сердца благодарю Ваше Императорское Высочество за милости­вое обо мне воспоминание;Вашего Императорского Высочества всепокорнейший слуга В. Жуковский;16;53;;РО ИРЛИ. No 27733. Л. 1;;ПСС Жуковский в 20 т., т. 16;автограф
414;А. П. Елагина;ж;1—15 декабря 1819;Петербург;Милая Дуняша;Милая Дуняша, я писал к Вам из Павловска, писал такое письмо, на которое должен бы был получить ответ, и послал еще такие стихи;;16;53;;НИОР РГБ. Ф. 99. Карт. VI. No 63. Л. 1—2. Б. д.;;Переписка Ж. и Елагиной. С. 211—212;автограф
415;В. Н. Олин;м;Около 19 декабря 1819;Петербург;;Искренно благодарю Вас за Ваш приятный подарок именно для меня;;16;55;;РО ИРЛИ. Онегинский архив. No 28183. Л. 1 об.;;Ежегодник РО ПД на 1980 г. Л., 1984. С. 105. Публикация Р. В. Иезуитовой;автограф
416;А. А. Прокопович-Антонский;м;26 декабря 1819;Петербург;почтеннейший Антон Антонович;Я получил Ваше любезное письмо, почтеннейший Антон Антонович;Ваш покорнейший слуга Жуковский;16;55;;неизвестен;неизвестен;РА. 1883. No 2. С. 329. Републикация: РА. 1902. No 5. С. 143 (с сокращениями и разночтениями);текст первой публикации
417;А. Н. Арбенева;ж;26 декабря 1819;Петербург;Милая Авдотья Николаевна;Милая Авдотья Николаевна, я не отвечал Вам тотчас потому, что надобно было справиться;Ваш Жуковский;16;56;;РО ИРЛИ. Ф. 18 (П. И. Бартенев). No 24. Л. 1—1 об. Вверху справа дата другим почерком: «26 декабря 1819»;;ПСС Жуковский в 20 т., т. 16;автограф
418;К. Я. Булгаков;м;29—30 декабря 1819;Петербург;;Я с тобою не простился — право, было некогда;по гроб твой богомолец Жуковский;16;57;;НИОР РГБ. Ф. 41. Карт. 82. No 31. Л. 5. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
419;К. Я. Булгаков;м;Вторая половина 1819;Петербург;любезнейший Константин;"Прошу тебя, любезнейший Константин, принять это письмо и, несмотря ни на какие почтамтские законы, отправить; оно чрезвычайно нужное и не тер­пит никакого задержания";твой Жуковский;16;57;;НИОР РГБ. Ф. 41. Карт. 82. No 27. Л. 4. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
420;А. П. Елагина;ж;25 января — 3 февраля 1820;Петербург;Милая душа Дуняша;Милая душа Дуняша, виват! Приезжаю из Дерпта, и первая встреча — письмо от Вас и в нем новорожденная;Ж.;16;57;;неизвестен;1) РНБ. Оп. 2. No 442. Л. 19—20. Б. г. 2) РО ИРЛИ. Ф. 265. Оп. 2. No 1040. Л. 28—29. Б. г.;РС. 1883. Т. 40. No 10. С. 79—80 — не полностью, до слов «<...> приготовьте ее к допросу». Полностью: РБ. 1912. No 7—8. С. 91—92;Печатается по копии РО ИРЛИ
421;Н. И. Греч;м;Начало апреля 1820;Петербург;любезный Николай Иванович;Вы думаете, любезный Николай Иванович, что дело кончено — нет, не кончено;Вам преданный Жуковский;16;58;;РГАЛИ. Ф. 156. Оп. 1. No 15. Л. 2—2 об. Б. д.;;ЖИМ. Вып. 2. С. 468—469. Публикация А. С. Янушкевича;автограф
422;А. И. Тургенев;м;Май (до 13) 1820;Петербург;;Я был вчера у Клингера и сказывал ему, что ты на сих днях к нему будешь с графом Капо д’Истрия;Ж.;16;59;;РНБ. Оп. 2. No 157. Л. 1. Б. д.;;ПЖТ. С. 190—191;автограф
423;И. И. Козлов;м;Май (до 13) 1820;Петербург;Mon che;Mon cher, je pars dans le moment;;16;60;;РО ИРЛИ. Р. I. Оп. 9. No 71. Л. 28. Б. д.;;Соловьев. Т. 2. С. 92;автограф
424;Н. М. Лонгинов;м;13 мая 1820;Павловск;;Прошу Вас покорнейше взять на себя труд написать мне или велеть на­писать несколько слов о том, что последовало на просьбу Бока;Вашего превосходительства покорнейший слуга Жуковский;16;60;;ОПИ ГИМ. Ф. 445. No 62. Л. 73. Б. г., архивная датировка: «1820»;;ПСС Жуковский в 20 т., т. 16;автограф
425;А. В. Кочубей;м;15 мая 1820;Павловск;Милостивый государь Александр Васильевич;Пользуясь Вашим благосклонным ко мне расположением и честь имею представить Вам самого Тимофея Ивановича Ляхова;Ваш покорнейший слуга Жуковский;16;60;;РНБ. Оп. 2. No 167. Л. 1;;РС. 1901. No 7. С. 108—109. Публикация А. С. Бычкова. Републикация А. С. Янушкевича: ЖИМ. Вып. 2. С. 484—485.;автограф
426;В. И. Панаев;м;24 мая 1820;Павловск;почтеннейший Влади­мир Иванович;Приношу Вам чувствительнейшую благодарность, почтеннейший Влади­мир Иванович, за Ваш приятный подарок;Вашпокорнейший слуга и усердный родня по отцу Фебу Жуковский ;16;61;;РО ИРЛИ. No 3015. Л. 1—2. Б. г.;;ВЕ. 1867. Т. 3. No 9. С. 267 — в составе «Воспоминаний В. И. Панаева»;автограф
427;Н. И. Гнедич;м;Около 8 июня 1820;Павловск;;Плетнёв просил меня доставить тебе «Иоанну» для прочтения в Обществе соревнователей по желанию г<оспод> членов;;16;61;;РНБ. Оп. 2. No 94. Л. 3. Б. д.;;Книжки Недели. 1896. No 1. С. 9. Публикация А. Ф. Онегина.;автограф
428;Неустановленное лицо;;Начало июня 1820;Петербург;;Я всё хотел сам побывать у Вас, и всё не удается;;16;61;;НИОР РГБ. Ф. 104. Картон 1. No 10. Л. 1 — черновой. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
429;Н. И. Гнедич;м;Начало июня 1820;Павловск;Любезнейший друг;"Любезнейший друг, я к тебе с важною просьбою; старанием ее исполнить докажешь мне дружбу свою и чрезвычайно меня обяжешь";Твой навсегда Жуковский;16;62;;РО ИРЛИ. No 103—108 (конволют). Л. 3—4 — беловой. Б. д.;;ЖИМ. Вып. 2. С. 385—386. Публикация В. С. Киселева;автограф
430;А. Н. Голицын;м;22 июня 1820;Павловск;Милостивый государь;С крайним прискорбием уведомился я, что напечатание той книжки;Вашего сиятельства покорнейший слуга Василий Жуковский;16;63;;РНБ. Оп. 2. No 97. Л. 1—2 — черновой;;РА. 1900. No 9. С. 41—42;автограф
431;А. И. Тургенев;м;Около 22 июня 1820;Петербург;;Я понадеялся на тебя, а ты наделал мне больших неприятностей;Ж.;16;64;;РО ИРЛИ. Ф. 309 (Тургеневы). No 124 (старый шифр). Л. 318—318 об. Б. д.;;РС. 1901. No 4. С. 137—138;автограф
432;Н. И. Гнедич;м;30 июня 1820;Петербург;Любезнейший;Любезнейший, мне не удалось тебя видеть вчера, то есть во вторник вве­черу я у тебя был, но тебя не застал;Твой Жуковский;16;65;;РНБ. Оп. 2. No 95. Л. 9. Б. д.;РНБ. Оп. 2. No 95. Л. 34 — писарская;ЖИМ. Вып. 2. С. 387—388. Публикация В. С. Киселева.;автограф
433;К. Я. Булгаков;м;Июль — август 1820;Павловск;;Любезнейший, прошу тебя похлопотать о моем человеке: вот его письмо к Закревскому, прошу сделать пакет и доставить по адресу;Жуковский;16;65;;НИОР РГБ. Ф. 41. Карт. 82. No 26. Л. 1. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
434;К. Я. Булгаков;м;Июль — август 1820;Павловск;Любезнейший друг;Любезнейший друг, извини! Доверенность на твое имя была уже напи­сана на объявлении прежде;Жуковский;16;66;;НИОР РГБ. Ф. 41. Карт. 82. No 27. Л. 6. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
435;К. Я. Булгаков;м;Июль — август 1820;Павловск;Любезный Почтдиректор;Любезный Почтдиректор, прошу тебя переслать это письмо немедленно к Плещееву;Твой Жучка;16;66;;НИОР РГБ. Ф. 41. Карт. 82. No 28. Л.11. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
436;К. Я. Булгаков;м;Лето 1820;Павловск;;Прошу тебя отдать то письмо, которое получишь на мое имя из Царского Села;Жуковский;16;66;;НИОР РГБ. Ф. 41. Карт. 82. No 27. Л. 12. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
437;К. Я. Булгаков;м;Август — сентябрь (не позднее середины) 1820;Петербург;Любезный,;Любезный, вот тебе Александр Федорович Воейков, которого тебе реко­мендую и за которого прошу тебя;Твой Жуковский;16;66;;НИОР РГБ. Ф. 41. Карт. 82. No 28. Л. 9. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
438;Н. И. Гнедич;м;24 сентября 1820;Петербург;Николай;Николай! Я в большом недоумении. Отдал в прошедшую субботу большой же пакет на твое имя Воейкову;Василий;16;67;;РО ИРЛИ. No 103—108 (конволют). Л. 5 — беловой. Б. д.;;ЖИМ. Вып. 2. С. 389—390. Публикация В. С. Киселева;автограф
439;А. А. Дельвиг;м;Около 24 сентября 1820;Петербург;;Возвращаю Вам статью Дашкова;;16;67;;ГАРФ. Ф. 728 (Зимний дворец). Оп. 1. No 1731. Л. 8. Б. д.;;РЛ. 2009. No 3. С. 99. Публикация А. С. Янушкевича;автограф
440;П. В. Голенищев-Кутузов;м;Не раньше начала 1818 г. и не позже 25 сентября 1820;Петербург;Милостивый государь Павел Васильевич;;Вашего превосходительства покорнейший слуга Жуковский;16;67;;РГАЛИ. Ф. 143. Оп. 1. No 351. Л. 1. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
441;К. Я. Булгаков;м;27 сентября 1820;Петербург;милый Константин;Обнимаю тебя, милый Константин, и прошу немедленно переслать мое письмо к Тургеневу;Твой Жуковский;16;68;;НИОР РГБ. Ф. 41, карт. 82. No 26. Л. 5. Б. г.;;ПСС Жуковский в 20 т., т. 16;автограф
442;Н. И. Уткин;м;28 сентября 1820;Дерпт;;Любезнейший Николай Иванович, я дал Проташинскому двое панталон, одни летние, другие зимние, и синий жилет суконный и два шелковых платка;Вам преданный Жуковский ;16;68;;РО ИРЛИ. Ф. 234 (П. А. Плетнёв). Оп. 9. No 21. Л. 1—2;;РА. 1883. No 2. С. 485. Публикация Я. К. Грота;автограф
443;А. П. Елагина;ж;2 октября 1820;Дерпт;милая Дуняша;Я всё откладывал до последней минуты писать к Вам, милая Дуняша;Жуковский;16;69;;неизвестен;РНБ. Оп. 2. No 442. Л. 21—22 об., с пометой: «(Дерпт, 2 октября 1820)»;"ЖМНП. 1869. Ч. 143. No 5. С. 83—84, с датировкой «2 октября 1820 г.»; Зейдлиц. С. 117—118 (отрывок). Полностью: РБ. 1912. No 7—8. С. 93—94, с той же пометой";копия
444;А. И. Тургенев;м;2 октября 1820;Дерпт;;Я еще в Дерпте, жду своего товарища Адлерберга: думаю, что выеду от­сюда завтра поутру;Ж.;16;70;;РНБ. Оп. 2. No 157. Л. 3. Б. г.;;ПЖТ. С. 191—192;автограф
445;К. Я. Булгаков;м;3 октября 1820;Дерпт;любезнейший друг;"Прости, любезнейший друг. Сию минуту еду в путь; прошу твоего благо­словения";Твой Жуковский;16;71;;НИОР РГБ. Ф. 41, карт. 82. No 26. Л. 3. Б. г.;;ПСС Жуковский в 20 т., т. 16;автограф
446;"Е. А. Протасова; М. А. Мойер";"ж; ж";1 ноября 1820;Берлин;;Ни я, ни Вы не исправились: мы ленимся писать друг к другу по-старому и самым непростительным образом;;16;71;;неизвестен;РНБ. Оп. 2. No 121. Л. 1—2 об. — рукою неизвестного лица, с небольшой правкой Жуковского;РА. 1900. No 9. С. 34—38;копия
447;А. А. Воейкова;ж;19 ноября 1820;Берлин;Саша;Возможно ли, Саша? Почти полтора месяца, как я в Берлине, а от вас нет ни строчки;;16;74;;неизвестен;1) РО ИРЛИ. No 27737. Л. 4—6 об. — рукою А. А. Воейковой (?). Б. д. 2) РО ИРЛИ. No 27737. Л. 7—10 — писарская, неполная, до слов «...все можно писать без обдумыванья». Б. д.;Ж. в семье Протасовых и Воейковых. С. 243—244 (по копии А. А. Воейковой?), фрагмент, до слов «я бы послал живописца к тебе!». Публикация М. Л. Гофмана.;по копии 1 впервые полностью
448;А. И. Тургенев;м;27 ноября 1820;Берлин;;Хорошо, что я получил твое письмо уже гораздо после того, которое по­слал к тебе с Эссеном для доставления Саше;Ж.;16;76;;РНБ. Оп. 2. No 157. Л. 5—6 об. Б. г.;;ПЖТ. С. 192—194;автограф
449;К. Я. Булгаков;м;29 декабря 1820;Берлин;Любезнейший друг;Любезнейший друг, рекомендую тебе подателя этого письма, чудотворца Drouet;Твой Жуковский;16;78;;НИОР РГБ. Ф. 41, карт. 82. No 26. Л. 6.;;ПСС Жуковский в 20 т., т. 16;автограф
450;А. Н. Арбенева;ж;6 января 1821;Берлин;Милая Авдотья Николаевна;Милая Авдотья Николаевна, Вы напрасно пеняете мне, что я не отвечал Вам на Ваше последнее письмо;Жуковский;16;79;;РО ИРЛИ. Онегинский архив. No 27810. Л. 109—110 об. Б. д.;;Гофман. С. 159—161;автограф
451;А. И. Тургенев;м;7 января 1821;Берлин;;Я получил твое письмо и в нем Сашино из Дерпта;;16;80;;РО ИРЛИ. Онегинский архив. No 27810. Л. 109—110 об. Б. д.;;Гофман. С. 159—161;автограф
452;А. И. Тургенев;м;Начало февраля 1821;Берлин;Милый брат;Милый брат, твое письмо оживило меня и оживило для меня старое пре­красное время;;16;81;;РО ИРЛИ. Онегинский архив. No 27810. Л. 101—102 об. Б. д.;;Гофман. С. 161—163;автограф
453;А. И. Тургенев;м;6 февраля 1821;Берлин;;"Вот тебе мои стихи; но только для тебя и для Саши";;16;82;;РО ИРЛИ. Онегинский архив. No 27810. Л. 105—106 об. — с приложением автографов стихотворений «Лалла Рук» (Л. 107—108) и «Поэзия в виде Лалла Рук» (Л. 108 об.). Б. г.;РО ИРЛИ. No 27810. Л. 76—78 — рукою А. А. Воейковой (без текстов стихотворений);Гофман. С. 153—156;автограф
454;А. И. Тургенев;м;8 февраля 1821;Берлин;;"Вчера был день для меня незабвенный; одна из новых звезд на моем небе";;16;85;;РО ИРЛИ. Онегинский архив. No 27810. Л. 103—104 об;РО ИРЛИ. No 27810. Л. 78—78 об. — рукою А. А. Воейковой, от начала до слов: «...без всякого себе насилия»;Гофман. С. 156—159;автограф
455;А. А. Воейкова;ж;Около 8 февраля 1821;Берлин;Мой добрый ангел Сашка;Мой добрый ангел Сашка, я получил ваше двойное письмо и прочитал его с чувством, возвышающим сердце;;16;87;;неизвестен;РО ИРЛИ. No 27810. Л. 79—80 об., рукою А. А. Воейковой для А. И. Тургенева. Б. д.;Ж. в семье Протасовых и Воейковых. С. 245—246;копия
456;А. П. Елагина;ж;14 февраля 1821;Берлин;Милый друг Дуняша!;Милый друг Дуняша! Как давно это милое имя не было мною написано на бумаге, то есть не было переписано из души на бумагу!;;16;89;;неизвестен;РНБ. Оп. 2. No 442. Л. 23—24 об., с пометой: «Берлин. 1821. 14/26. Марта? Весною»;УС. С. 30—31, с пометой: «(Берлин, 1821 г. 14/26 февраля)»;копия
457;К. М. фон Брюль;м;23 апреля 1821;Берлин;cher Comte;Je vous remercie, cher Comte, pour votre aimable invitation;Joukoffsky;16;90;;Mscr. Dresd. App. 514 A 1299;;ПСС Жуковский в 20 т., т. 16;автограф
458;К. М. фон Брюль;м;9 мая 1821;Берлин;Monsieur le Comte;Je suis revenu de Potsdam;Joukoffsky;16;90;;Mscr. Dresd. App. 514 A 1297;;ПСС Жуковский в 20 т., т. 16;автограф
459;П. И. Полетика;м;13 мая 1821;Берлин;милый Очарованный Челнок;Ты удивишься, милый Очарованный Челнок, получив от меня письмо из Берлина;Жуковский;16;91;;РО ИРЛИ. Ф. 265. Оп. 2. No 1042. Л. 1—2;;РС. 1883. Т. 40. No 12. С. 711—712;автограф
460;К. М. фон Брюль;м;16 мая 1821;Берлин;Cher Comte;Cher Comte, vous m’obligerez infiniment si vous me procurerez un billet de loge pour le spectacle d’aujourd’hui;Joukoffsky;16;92;;Mscr. Dresd. App. 514 A 1300 Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
461;П. А. Вяземский;м;16 мая 1821;Берлин;Друг;Друг, ты обвиняешь и должен меня обвинять — моя лень точно загадка;"Жуковский; Ж.";16;92;;РГАЛИ. Ф. 195. Оп. 1. No 1909а. Л. 73—74. Б. г.;;ПСС Жуковский в 20 т., т. 16;автограф
462;Великая княгиня Александра Федоровна;ж;20 мая 1821;Дрезден;Ваше Император­ское Высочество;Вот уже три дня, как я путешествую, но буду говорить Вашему Император­скому Высочеству только о Берлине;Жуковский;16;93;;РНБ. Оп. 2. No 76. Л. 1—3;;РС. 1901. No. 10. С. 221—224;автограф
463;Великая княгиня Александра Федоровна;ж;4—17 июня 1821;"Дрезден; Прага; Карлсбад";;После удовольствия видеть начинается для меня удовольствие рассказы­вать Вашему Императорскому Высочеству о том, что я видел;Вашего Императорского Высочества покорнейший слуга Жуковский;16;96;;1) РНБ. Оп. 2. No 76. Л. 4—9 об. — беловой. 2) ОПИ ГИМ. Ф. 83 (Щукинское собрание). Оп. 2. No 63. Л. 22—28 об. — черновой. 3) РО ИРЛИ. No 27737. Л. 1—3 — черновой (см. о нем вступительное примечание к письму к А. А. Воейковой от 4/16 июня 1821 г.).;1) НИОР РГБ. Ф. 99. Карт. VI. No 66. Л. 1—11 об. — рукою М. А. Мойер и А. П. Елагиной, с разночтениями. 2) РНБ. Оп. 2. No 76. Л. 24—28 — писарская;"фрагмент белового автографа «Пильниц. Ломен. Ottowalde-grund. Время было несколько туманно ~ Поужинав, отправились мы в Дрезден и приехали туда за полночь», с незначительными разночтениями: ПЗ на 1824 год. С. 97—119 — с заглавием «Путешествие по Саксонской Швейцарии (в 1821)» и подписью: «Жуковский»; фрагмент копии НИОР РГБ «В Виттенберге, который пленяет воображение своею древностью, видел я обе старинные церкви ~ И много милых теней встало...»: МТ. 1827. Ч. XIV. No 6. С. 114—124, с заглавием «Отрывок письма из Саксонии» и подписью: «Жуковский» (см. примеч. 40). Полностью: РС. 1901. No 10. С. 224—240 (беловой автограф); Щукинский сборник. Вып. 1. М., 1905. С. 66—82 — с заглавием: «Письма (черновые) В. А. Жуковского великому князю Николаю Павловичу» (черновой автограф).";печатается по беловому автографу РНБ
464;А. А. Воейкова;ж;4 июня 1821;Дрезден;Саша, мой милый друг и товарищ;Саша, мой милый друг и товарищ, ты удивишься, что я тебя величаю в на­чале письма высочеством;;16;110;;РО ИРЛИ. No 27737. Л. 2;;ПСС Жуковский в 20 т., т. 16;автограф
465;К. Я. Булгаков;м;25 июня 1821;Карлсбад;Милый;Милый, вот тебе пакет: перешли его тотчас к Тургеневу;Твой Жуковский;16;111;;НИОР РГБ. Ф. 41, карт. 82. No 29. Л. 1. Б. г.;;ПСС Жуковский в 20 т., т. 16;автограф
466;Великая княгиня Александра Федоровна;ж;23 июня — 29 июня 1821;Карлсбад;;В последнем письме моем описывал я Вашему Императорскому Высо­честву путешествие мое по Саксонской Швейцарии;Вашего Императорского Высочества покорнейший слуга Жуковский;16;111;;1) РНБ. Оп. 2. No 76. Л. 10—14 об. — беловой. 2) ОПИ ГИМ. Ф. 83. Оп. 2. No 63. Л. 28 об. — 30 об. — черновой, неполный, до слов: «когда от италианской школы переходишь к фламандской». Б. д.;1) НИОР РГБ. Ф. 99. Карт. VI. No 66. Л. 11—14 об. — рукою М. А. Мойер и А. П. Елагиной, неполная, до слов «...Это картина Гранди», отсутствующих в беловом автографе, но сохранившихся в черновом автографе ОПИ ГИМ с небольшими разно­чтениями (см. примеч. 32) и в публикации МТ. 2) РНБ. Оп. 2. No 76. Л. 41—55 об. — писарская.;"ПЗ на 1824 г. СПб., 1824. С. 241—249, фрагмент: «Я смотрел на нее несколько раз; но видел ее только однажды ~ дважды случиться оно не может», под заглавием: «Рафаэлева Мадонна (Из письма о Дрезденской галерее)», с подписью: «Жуковский»; фрагмент: «Я познакомился в Дрездене ~ Это картина Гранди» МТ. 1827. No 1. С. 20—32, с заглавием «Отрывок письма о Саксонии (в 1821 году)» с подписью: «Жуковский». Полностью: РС. 1901. No 11. С. 389—401.";печатается по автографу РНБ
467;Великая княгиня Александра Федоровна;ж;2 октября — 7 октября 1821;"Штутгарт; Франкфурт-на-Майне";;Я покинул Швейцарию и теперь в Штутгарде;Вашего Императорского Высочества покорнейший слуга Жуковский;16;121;;1) РНБ. Оп. 2. No 76. Л. 15—21 об. — беловой. 2) РО ИРЛИ. 27732. Л. 1—4 об. — черновой, неполный (до слов «...долина Гриндельвальд и ее глетшеры»).;"1) РНБ. Оп. 2. No 76. Л. 56—59 — рукою А. А. Воейковой; отрывок от слов «Но уже природа потеряла свою швейцарскую суровость...» до слов «...долина Гриндельвальд и ее глетшеры...». 2) НИОР РГБ. Ф. 99. Карт. VI. No 66. Л. 15—25 — рукою М. А. Мойер и А. П. Елагиной.";ПЗ на 1825 г. С. 117—140 (фрагменты), с заглавием: «Отрывки из письма о Швейцарии», с подписью: «Жуковский». Полностью: РС. 1902. No 5. С. 337—355;печатается по автографу РНБ
468;К. Х. Бенкендорф;м;Около 7 октября 1821;Франкфурт-на-Майне;;Я наконец во Франкфурте и спешу написать к Вам несколько строк;Ваш покорнейший слуга;16;137;;неизвестен;неизвестен;РС. 1902. No 4. С. 178—179;текст первой публикации
469;Великая княгиня Александра Федоровна;ж;1 ноября 1821;Берлин;Ваше Императорское Высочество;Я имел честь писать к Вашему Императорскому Высочеству из Штутгарда;Вашего Императорского Высочества покорнейший слуга Жуковский;16;138;;РНБ. Оп. 2. No 76. Л. 22—22 об.;;РС. 1902. No 5. С. 356—358;автограф
470;К. М. фон Брюль;м;Около 4 ноября 1821;Берлин;mon cher Comte;J’accepte avec plaisir et reconnaissance votre aimable invitation, mon cher Comte;Joukoffsky;16;139;;Mscr. Dresd. App. 514 A 1298. Б. д.;;ПСС Жуковский в 20 т., т. 16;автограф
